malaria,diarrhoea,infection,disease,sars,measles,pneumonia,epidemic,pandemic,public health,healthcare,epidemiology,health care,health,mortality,morbidity,nutrition,illness,infectious,NCD,non-communicable disease,noncommunicable disease,communicable disease,air pollution,malnutrition,mental disorder,stunting,politicalGroup,date
0,0,2,0,0,0,0,4,6,0,1,0,0,17,0,0,0,2,1,0,0,0,0,0,0,0,0,PPE,2020-05-14
0,0,0,0,0,0,0,1,22,0,3,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,na,2020-05-14
0,0,1,3,0,0,0,4,17,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,S&D,2020-05-14
0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NI,2020-05-14
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Renew,2020-05-14
0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,ID,2020-05-14
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Verts/ALE,2020-05-14
0,0,0,0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,ECR,2020-05-14
0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,GUE/NGL,2020-05-14
0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE-DE,2020-05-14
